llm,model,version,run,filename,pylint_score,syntax_ok,imports_ratio,lines_of_code,execution_success,execution_time,filepath
gpt,gpt-4o,v1,5,v1_base_cnn_gpt-4o_gpt_run1_20260705_023252.py,8.12,True,0.5,107,True,14.683379650115967,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v1_base_cnn_gpt-4o_gpt_run1_20260705_023252.py
gpt,gpt-4o,v1,5,v1_base_cnn_gpt-4o_gpt_run2_20260705_023300.py,9.2,True,0.5,98,True,206.78187084197998,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v1_base_cnn_gpt-4o_gpt_run2_20260705_023300.py
gpt,gpt-4o,v2,5,v2_pytorch_cnn_gpt-4o_gpt_run1_20260705_025508.py,7.19,True,0.5,107,True,16.039357900619507,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v2_pytorch_cnn_gpt-4o_gpt_run1_20260705_025508.py
gpt,gpt-4o,v2,5,v2_pytorch_cnn_gpt-4o_gpt_run2_20260705_025515.py,8.28,True,0.5,104,True,15.406395673751831,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v2_pytorch_cnn_gpt-4o_gpt_run2_20260705_025515.py
gpt,gpt-4o,v3,5,v3_tensorflow_cnn_gpt-4o_gpt_run1_20260705_031703.py,0.0,True,0.5,69,True,39.53681707382202,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v3_tensorflow_cnn_gpt-4o_gpt_run1_20260705_031703.py
gpt,gpt-4o,v3,5,v3_tensorflow_cnn_gpt-4o_gpt_run2_20260705_031711.py,0.0,True,0.5,75,True,40.708701610565186,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/gpt/v3_tensorflow_cnn_gpt-4o_gpt_run2_20260705_031711.py
grok,grok-4-1-fast-reasoning,v1,5,v1_base_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_023323.py,8.18,True,0.5,134,True,16.83771824836731,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v1_base_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_023323.py
grok,grok-4-1-fast-reasoning,v1,5,v1_base_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_023346.py,8.15,True,0.5,137,True,16.767659187316895,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v1_base_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_023346.py
grok,grok-4-1-fast-reasoning,v2,5,v2_pytorch_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_025530.py,8.43,True,0.5,134,True,16.768264770507812,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v2_pytorch_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_025530.py
grok,grok-4-1-fast-reasoning,v2,5,v2_pytorch_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_025544.py,8.0,True,0.5,128,True,16.03632092475891,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v2_pytorch_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_025544.py
grok,grok-4-1-fast-reasoning,v3,5,v3_tensorflow_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_031735.py,0.0,True,0.5,87,True,43.97213292121887,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v3_tensorflow_cnn_grok-4-1-fast-reasoning_grok_run1_20260705_031735.py
grok,grok-4-1-fast-reasoning,v3,5,v3_tensorflow_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_031756.py,0.0,True,0.5,79,True,38.96157646179199,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/grok/v3_tensorflow_cnn_grok-4-1-fast-reasoning_grok_run2_20260705_031756.py
claude,claude-sonnet-4-6,v1,5,v1_base_cnn_claude-sonnet-4-6_claude_run1_20260705_023422.py,8.3,True,0.5,167,True,18.5702805519104,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v1_base_cnn_claude-sonnet-4-6_claude_run1_20260705_023422.py
claude,claude-sonnet-4-6,v1,5,v1_base_cnn_claude-sonnet-4-6_claude_run2_20260705_023456.py,8.6,True,0.5,162,True,19.32345414161682,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v1_base_cnn_claude-sonnet-4-6_claude_run2_20260705_023456.py
claude,claude-sonnet-4-6,v2,5,v2_pytorch_cnn_claude-sonnet-4-6_claude_run1_20260705_025619.py,9.5,True,0.5,184,True,18.348102569580078,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v2_pytorch_cnn_claude-sonnet-4-6_claude_run1_20260705_025619.py
claude,claude-sonnet-4-6,v2,5,v2_pytorch_cnn_claude-sonnet-4-6_claude_run2_20260705_025653.py,8.91,True,0.5,170,True,18.293287992477417,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v2_pytorch_cnn_claude-sonnet-4-6_claude_run2_20260705_025653.py
claude,claude-sonnet-4-6,v3,5,v3_tensorflow_cnn_claude-sonnet-4-6_claude_run1_20260705_031828.py,7.2,True,0.5,182,True,85.375328540802,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v3_tensorflow_cnn_claude-sonnet-4-6_claude_run1_20260705_031828.py
claude,claude-sonnet-4-6,v3,5,v3_tensorflow_cnn_claude-sonnet-4-6_claude_run2_20260705_031900.py,6.89,True,0.5,165,True,86.36821866035461,/content/drive/MyDrive/LeLePhid_LLM_CNN/src/historical_models/run_5/claude/v3_tensorflow_cnn_claude-sonnet-4-6_claude_run2_20260705_031900.py
